pressure,temperature
925.0,282.75
923.0,282.75
891.0,280.34999999999997
887.3,280.15
854.9,277.84999999999997
850.0,277.54999999999995
844.0,277.34999999999997
823.5,279.25
820.0,279.54999999999995
813.0,279.15
797.0,278.54999999999995
793.3,278.75
790.0,278.95
764.2,277.95
747.0,277.34999999999997
736.1,276.75
713.0,275.34999999999997
701.0,275.95
700.0,275.95
694.0,276.54999999999995
687.0,277.75
682.6,277.45
668.0,276.54999999999995
657.4,277.34999999999997
655.0,277.54999999999995
638.0,276.34999999999997
609.7,274.25
600.0,273.54999999999995
588.0,272.25
586.9,272.15
575.0,271.04999999999995
564.7,270.04999999999995
543.3,267.84999999999997
540.0,267.45
522.6,266.34999999999997
513.0,265.65
502.5,264.65
500.0,264.45
